GEN,GAME_SPEED,POINTS,SURVIVAL_THRESHOLD,POPULATION,ACT_FUNC
1,21,108,0.5,150,tanh
2,20,54,0.5,150,tanh
3,25,523,0.5,150,tanh
4,26,670,0.5,150,tanh
5,23,325,0.5,150,tanh
6,33,1391,0.5,150,tanh
7,35,1511,0.5,150,tanh
8,34,1467,0.5,150,tanh
9,32,1204,0.5,150,tanh
10,33,1362,0.5,150,tanh
11,37,1702,0.5,150,tanh
12,34,1431,0.5,150,tanh
13,33,1322,0.5,150,tanh
14,36,1609,0.5,150,tanh
15,33,1397,0.5,150,tanh
16,35,1573,0.5,150,tanh
17,32,1211,0.5,150,tanh
18,36,1670,0.5,150,tanh
19,35,1597,0.5,150,tanh
20,33,1388,0.5,150,tanh
21,34,1494,0.5,149,tanh
22,39,1928,0.5,149,tanh
23,35,1568,0.5,150,tanh
24,38,1826,0.5,150,tanh
25,36,1640,0.5,151,tanh
26,35,1593,0.5,151,tanh
27,40,2085,0.5,151,tanh
28,38,1834,0.5,151,tanh
29,39,1988,0.5,151,tanh
30,36,1663,0.5,151,tanh
31,39,1925,0.5,151,tanh
32,39,1929,0.5,149,tanh
33,41,2133,0.5,149,tanh
34,41,2143,0.5,150,tanh
35,40,2018,0.5,150,tanh
36,37,1705,0.5,151,tanh
37,36,1659,0.5,150,tanh
38,37,1708,0.5,149,tanh
39,38,1808,0.5,149,tanh
40,37,1704,0.5,149,tanh
41,38,1867,0.5,150,tanh
42,36,1639,0.5,151,tanh
43,38,1865,0.5,150,tanh
44,33,1356,0.5,150,tanh
45,36,1664,0.5,150,tanh
46,38,1894,0.5,149,tanh
47,39,1982,0.5,151,tanh
48,43,2344,0.5,150,tanh
49,38,1895,0.5,150,tanh
50,43,2309,0.5,150,tanh
1,34,1424,0.8,150,tanh
2,26,672,0.8,150,tanh
3,37,1733,0.8,150,tanh
4,35,1568,0.8,150,tanh
5,35,1535,0.8,150,tanh
6,36,1603,0.8,150,tanh
7,36,1640,0.8,150,tanh
8,36,1631,0.8,150,tanh
9,34,1424,0.8,150,tanh
10,36,1668,0.8,150,tanh
11,35,1535,0.8,150,tanh
12,35,1529,0.8,150,tanh
13,37,1798,0.8,150,tanh
14,39,1925,0.8,150,tanh
15,34,1462,0.8,151,tanh
16,36,1638,0.8,151,tanh
17,36,1629,0.8,151,tanh
18,37,1737,0.8,150,tanh
19,34,1423,0.8,150,tanh
20,34,1470,0.8,150,tanh
21,37,1730,0.8,150,tanh
22,35,1535,0.8,150,tanh
23,37,1739,0.8,150,tanh
24,38,1835,0.8,150,tanh
25,38,1865,0.8,149,tanh
26,36,1635,0.8,150,tanh
27,39,1958,0.8,150,tanh
28,42,2254,0.8,151,tanh
29,36,1655,0.8,151,tanh
30,38,1838,0.8,150,tanh
31,38,1828,0.8,150,tanh
32,36,1669,0.8,151,tanh
33,36,1699,0.8,149,tanh
34,39,1927,0.8,151,tanh
35,36,1670,0.8,150,tanh
1,38,1831,0.8,150,tanh
2,38,1862,0.8,150,tanh
3,40,2022,0.8,150,tanh
4,38,1832,0.8,150,tanh
5,38,1889,0.8,150,tanh
6,38,1868,0.8,150,tanh
7,40,2046,0.8,150,tanh
8,42,2282,0.8,150,tanh
9,38,1831,0.8,150,tanh
10,37,1708,0.8,150,tanh
11,38,1884,0.8,150,tanh
12,40,2044,0.8,150,tanh
13,40,2053,0.8,150,tanh
14,35,1526,0.8,150,tanh
15,35,1503,0.8,150,tanh
16,34,1495,0.8,150,tanh
17,32,1206,0.8,151,tanh
18,35,1537,0.8,151,tanh
19,33,1348,0.8,150,tanh
20,36,1697,0.8,149,tanh
21,37,1735,0.8,150,tanh
22,38,1894,0.8,150,tanh
23,36,1663,0.8,150,tanh
24,36,1637,0.8,149,tanh
25,36,1638,0.8,150,tanh
26,36,1666,0.8,151,tanh
27,36,1635,0.8,150,tanh
28,37,1704,0.8,151,tanh
29,36,1606,0.8,149,tanh
30,35,1597,0.8,150,tanh
31,34,1496,0.8,151,tanh
32,36,1678,0.8,150,tanh
33,37,1706,0.8,151,tanh
34,35,1598,0.8,151,tanh
35,37,1705,0.8,149,tanh
36,35,1528,0.8,148,tanh
37,34,1433,0.8,149,tanh
38,36,1669,0.8,151,tanh
39,35,1597,0.8,150,tanh
40,35,1504,0.8,149,tanh
41,36,1632,0.8,149,tanh
42,39,1925,0.8,149,tanh
43,35,1541,0.8,150,tanh
44,38,1858,0.8,150,tanh
45,36,1692,0.8,151,tanh
